revenue,net profit,operating profit,interest revenue,cash,current assets,liabilities,marketable securities,current other assets,provisions for employees,non-current assets,goodwill,intangible assets,assets,current liabilities,equity,shares,inventories,shares authorized,net operating cashflows,net investing cashflows,net financing cashflows,bank: non-banking investing cashflow,bank: banking investing cashflow,payment for supplies,payment for employees,property sales (operating),dividends paid,forex,trade receivables,prepayments,cash on hands,cash on banks,cash short investment,employee benefits,Date,TICKER
42503000.0,14404015000.0,14404015000.0,,57144000.0,73110732000.0,27312133000.0,70039668000.0,,,14022910000.0,,1805000.0,87133642000.0,12274310000.0,59821509000.0,40946091157.0,,40946091157.0,-206019000.0,87065000.0,147800000.0,,,7534000.0,,,,,,,,17063000.0,40081000.0,,201603,BETLAN DOS
1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,201603,BETLAN DOS
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201603,BETLAN DOS
236682503000.0,22252625000.0,22252625000.0,,619661729000.0,5303582771000.0,7704644555000.0,2611129906000.0,112828923000.0,5453876000.0,3176894700000.0,21943352000.0,5808302000.0,8480477471000.0,4123226931000.0,768988689000.0,85087030.0,,85087030.0,-200833099000.0,5607034000.0,13084003000.0,,,65411295960000.0,19380121000.0,,,,1949894761000.0,,,520151016000.0,45397929000.0,18864320000.0,201603,BICECORP
1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,201603,BICECORP
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201603,BICECORP
,-749000,-749000,,700000.0,57273000.0,3033834000.0,,,,109140000.0,,,166413000.0,3033834000.0,-2867421000.0,522481.0,,522481.0,-749000,,749000,,,749000,,,,,,,,,,,201603,BINT
2.0,0,0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0,2.0,0,2.0,2.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,201603,BINT
0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201603,BINT
88405000.0,8669000.0,8669000.0,59000.0,11804000.0,207116000.0,242797000.0,12957000.0,,,367593000.0,596000.0,69555000.0,574709000.0,114719000.0,325566000.0,1408095997.0,59774000.0,1408095997.0,-14789000.0,-2561000.0,12366000.0,,,94402000.0,9217000.0,41000.0,,,43833000.0,,,11804000.0,,,201603,BLUMAR
1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,201603,BLUMAR
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,201603,BLUMAR
