revenue,net profit,operating profit,interest revenue,cash from sales,cash from yield,cash from rent,cash to payments,cash to other payments,speculation cash,current payables,cost of sales,ebit,depreciation,interest,cash,current assets,liabilities,marketable securities,current other assets,provisions for employees,non-current assets,goodwill,intangible assets,assets,current liabilities,equity,shares,inventories,shares authorized,net operating cashflows,net investing cashflows,net financing cashflows,bank: non-banking investing cashflow,bank: banking investing cashflow,payment for supplies,payment to employees,property sales (operating),dividends paid,forex,trade receivables,prepayments,cash on hands,cash on banks,cash short investment,employee benefits,Date,TICKER
0,0,0,2.0,0,2.0,2.0,0,0,2.0,0.0,0,0,0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,2.0,2.0,2.0,0,0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,0,201303,CANALISTAS
0,0,0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,201303,CANALISTAS
486635000,67003000,67003000,,717463000,,,351377000,,,526339000,347173000,100311000,32883000,,325194000,1679748000,2168182000,306491000,45976000,47502000,3622388000,1767000,846826000,5302136000,835796000,1853943000,149448112,523077000,149448112,250041000,-150488000,-69847000,,,351377000,69987000,173000,69234000,191000,370340000,2791000,,24110000,56296000,73717000,201303,CAP
0,0,0,2.0,0,2.0,2.0,0,2.0,2.0,0.0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,2.0,0,0,0,0,0,0.0,0.0,2.0,0.0,0.0,0,201303,CAP
1,1,1,0.0,1,0.0,0.0,1,0.0,0.0,1,1,1,1,0.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0.0,0.0,1,1,1,1,1,1,1,0.0,1,1,1,201303,CAP
132293019000,8318147000,8318147000,,159016205000,,,151161942000,,,69135439000,87304362000,10874615000,3900808000,,3184908000,295374392000,508475312000,2173994000,471529000,,470396066000,,112063844000,765770458000,286363412000,186663288000,194225254,135835121000,194225254,-2704034000,-13184791000,13345849000,,,151161942000,10646435000,22880000,394000,,134378474000,,,2900225000,,15295910000,201303,CAROZZI
0,0,0,2.0,0,2.0,2.0,0,2.0,2.0,0.0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,2.0,0,0,0,0,2.0,0.0,2.0,2.0,0.0,2.0,0,201303,CAROZZI
0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0,201303,CAROZZI
1454758000,115676000,115676000,,1417358000,,,992711000,101652000,,1005254000,1245781000,140612000,62944000,,9920000,2241302000,1255181000,,7236000,,3718146000,,15090000,5959448000,1173594000,4704267000,2900000,97548000,2900000,269018000,-37077000,-326683000,,,992711000,48358000,,,,1191873000,,,9286000,,,201303,CASABLANCA
0,0,0,2.0,0,2.0,2.0,0,0,2.0,0.0,0,0,0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,2.0,2.0,0,0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,201303,CASABLANCA
